# Nom du fichier ANTILOPE_PRECIP_20220507_1200_000100_1675758544166
# lame d'eau sur 1 heure, le 7 Mai 2022 à 12h00 UTC
# ------------------------------------------------------
# type d'image : Lame d'eau Antilope horaire
# Nb de champs extraits / Nb de champs demandés : 24/24
# ------------------------------------------------------
# latitude et longitude du système WGS84, méridien d'origine : Greenwich
# les valeurs négatives sont les longitudes Ouest
# zone géographique : 
# longitude min/max : 1.0/4.01
# latitude min/max : 47.79/49.5
# maille ANTILOPE (longitude/latitude) : 0.01/0.01
# ------------------------------------------------------
# Longitude, Latitude, Valeur
# degres, degres, mm
# ------------------------------------------------------
1.000 49.500 0.0
1.010 49.500 0.0
1.020 49.500 0.0
1.030 49.500 0.0
1.040 49.500 0.0
1.050 49.500 0.0
1.060 49.500 0.0
1.070 49.500 0.0
1.080 49.500 0.0
1.090 49.500 0.0
1.100 49.500 0.0
1.110 49.500 0.0
1.120 49.500 0.0
1.130 49.500 0.0
1.140 49.500 0.0
1.150 49.500 0.0
1.160 49.500 0.0
1.170 49.500 0.0
1.180 49.500 0.0
1.190 49.500 0.0
1.200 49.500 0.0
1.210 49.500 0.0
1.220 49.500 0.0
1.230 49.500 0.0
1.240 49.500 0.0
1.250 49.500 0.0
1.260 49.500 0.0
1.270 49.500 0.0
1.280 49.500 0.0
1.290 49.500 0.0
1.300 49.500 0.0
1.310 49.500 0.0
1.320 49.500 0.0
1.330 49.500 0.0
1.340 49.500 0.0
1.350 49.500 0.0
1.360 49.500 0.0
1.370 49.500 0.0
1.380 49.500 0.0
1.390 49.500 0.0
1.400 49.500 0.0
1.410 49.500 0.0
1.420 49.500 0.0
1.430 49.500 0.0
1.440 49.500 0.0
1.450 49.500 0.0
1.460 49.500 0.0
1.470 49.500 0.0
1.480 49.500 0.0
1.490 49.500 0.0
1.500 49.500 0.0
1.510 49.500 0.0
1.520 49.500 0.0
1.530 49.500 0.0
1.540 49.500 0.0
1.550 49.500 0.0
1.560 49.500 0.0
1.570 49.500 0.0
1.580 49.500 0.0
1.590 49.500 0.0
1.600 49.500 0.0
1.610 49.500 0.0
1.620 49.500 0.0
1.630 49.500 0.0
1.640 49.500 0.0
1.650 49.500 0.0
1.660 49.500 0.0
1.670 49.500 0.0
1.680 49.500 0.0
1.690 49.500 0.0
1.700 49.500 0.0
1.710 49.500 0.0
1.720 49.500 0.0
1.730 49.500 0.0
1.740 49.500 0.0
1.750 49.500 0.0
1.760 49.500 0.0
1.770 49.500 0.0
1.780 49.500 0.0
1.790 49.500 0.0
1.800 49.500 0.0
1.810 49.500 0.0
1.820 49.500 0.0
1.830 49.500 0.0
1.840 49.500 0.0
1.850 49.500 0.0
1.860 49.500 0.0
1.870 49.500 0.0
1.880 49.500 0.0
1.890 49.500 0.0
1.900 49.500 0.0
1.910 49.500 0.0
1.920 49.500 0.0
1.930 49.500 0.0
1.940 49.500 0.0
1.950 49.500 0.0
1.960 49.500 0.0
1.970 49.500 0.0
1.980 49.500 0.0
1.990 49.500 0.0
2.000 49.500 0.0
2.010 49.500 0.0
2.020 49.500 0.0
2.030 49.500 0.2
2.040 49.500 0.2
2.050 49.500 0.2
2.060 49.500 0.1
2.070 49.500 0.0
2.080 49.500 0.0
2.090 49.500 0.0
2.100 49.500 0.0
2.110 49.500 0.0
2.120 49.500 0.0
2.130 49.500 0.0
2.140 49.500 0.0
2.150 49.500 0.0
2.160 49.500 0.0
2.170 49.500 0.0
2.180 49.500 0.0
2.190 49.500 0.0
2.200 49.500 0.0
2.210 49.500 0.0
2.220 49.500 0.0
2.230 49.500 0.0
2.240 49.500 0.0
2.250 49.500 0.0
2.260 49.500 0.0
2.270 49.500 0.0
2.280 49.500 0.0
2.290 49.500 0.0
2.300 49.500 0.0
2.310 49.500 0.0
2.320 49.500 0.0
2.330 49.500 0.0
2.340 49.500 0.0
2.350 49.500 0.0
2.360 49.500 0.0
2.370 49.500 0.0
2.380 49.500 0.0
2.390 49.500 0.0
2.400 49.500 0.0
2.410 49.500 0.0
2.420 49.500 0.0
2.430 49.500 0.0
2.440 49.500 0.0
2.450 49.500 0.0
